chromophore_smiles,solvent_original,canonical_chromophore_smiles,canonical_solvent_smiles,absorption_nm,emission_nm,lifetime_ns,quantum_yield,log_extinction,source_dataset,fluodb_source,fluodb_tag,fluodb_tag_name,fluodb_solvent_num,fluodb_split,reference_doi,stokes_shift_nm
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CC#N,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CC#N,314.0,449.0,0.91,0.008,3.662758,deep4chem,,,,,,,135.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CO,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CO,313.0,449.0,0.89,0.047,3.653213,deep4chem,,,,,,,136.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,O,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,O,309.0,457.0,,0.003,3.579784,deep4chem,,,,,,,148.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CC#N,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CC#N,310.0,470.0,2.68,0.001,3.612784,deep4chem,,,,,,,160.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CO,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,CO,310.0,467.0,2.52,0.001,3.662758,deep4chem,,,,,,,157.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,O,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,O,308.0,482.0,3.01,0.001,3.568202,deep4chem,,,,,,,174.0
CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CC#N,CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CC#N,316.0,455.0,1.03,0.005,3.643453,deep4chem,,,,,,,139.0
CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CO,CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,CO,314.0,453.0,0.96,0.004,3.732394,deep4chem,,,,,,,139.0
CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,O,CSc1ccc2c(c1)N(CCCN1CCN(C)CN1C)c1ccccc1S2,O,312.0,466.0,1.47,0.006,3.633468,deep4chem,,,,,,,154.0
F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,402.0,434.0,,0.036,4.45,deep4chem,,,,,,,32.0
c1ccc2c([SiH](c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,ClC(Cl)Cl,c1ccc2c([SiH](c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,ClC(Cl)Cl,401.0,432.0,,0.028,4.51,deep4chem,,,,,,,31.0
O[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,O[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,402.0,434.0,,0.015,4.43,deep4chem,,,,,,,32.0
CO[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,CO[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,401.0,439.0,,0.006,4.4,deep4chem,,,,,,,38.0
C=C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,C=C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,404.0,437.0,,0.017,4.43,deep4chem,,,,,,,33.0
C[Si](C)(C)C#C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,C[Si](C)(C)C#C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,404.0,438.0,,0.04,4.45,deep4chem,,,,,,,34.0
F[Si](c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,F[Si](c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,394.0,426.0,,0.52,3.85,deep4chem,,,,,,,32.0
F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,F[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,401.0,416.0,,0.033,4.48,deep4chem,,,,,,,15.0
F[Si-](F)(c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,F[Si-](F)(c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,392.0,396.0,,0.64,4.61,deep4chem,,,,,,,4.0
F[Si](c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,F[Si](c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,397.0,409.0,,0.17,4.26,deep4chem,,,,,,,12.0
F[Si-](F)(c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,F[Si-](F)(c1ccccc1)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,C1CCOC1,391.0,395.0,,0.46,4.33,deep4chem,,,,,,,4.0
F[Si](c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C1CCOC1,F[Si](c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C1CCOC1,393.0,405.0,,0.86,3.91,deep4chem,,,,,,,12.0
F[Si-](F)(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C1CCOC1,F[Si-](F)(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,C1CCOC1,391.0,399.0,,0.76,3.87,deep4chem,,,,,,,8.0
F[Si](c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,F[Si](c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,286.0,332.0,,0.14,3.94,deep4chem,,,,,,,46.0
F[Si-](F)(c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,F[Si-](F)(c1ccccc1)(c1ccccc1)c1cccc2ccccc12,C1CCOC1,286.0,338.0,,0.061,3.84,deep4chem,,,,,,,52.0
F[Si](c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,F[Si](c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,302.0,353.0,,0.11,4.11,deep4chem,,,,,,,51.0
F[Si-](F)(c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,F[Si-](F)(c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,303.0,359.0,,0.19,4.12,deep4chem,,,,,,,56.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,ClC(Cl)Cl,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,ClC(Cl)Cl,433.0,482.0,,0.007,4.330414,deep4chem,,,,,,,49.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,ClCCl,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,ClCCl,430.0,478.0,,0.008,4.326336,deep4chem,,,,,,,48.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC#N,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC#N,426.0,485.0,,0.032,4.060698,deep4chem,,,,,,,59.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)=O,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)=O,418.0,475.0,,0.01,4.30103,deep4chem,,,,,,,57.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CS(C)=O,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CS(C)=O,438.0,490.0,,0.044,4.0086,deep4chem,,,,,,,52.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CO,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CO,434.0,474.0,,0.025,4.0,deep4chem,,,,,,,40.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)O,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)O,432.0,472.0,,0.015,3.857332,deep4chem,,,,,,,40.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CCCCO,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CCCCO,433.0,475.0,,0.018,3.832509,deep4chem,,,,,,,42.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)(C)O,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,CC(C)(C)O,420.0,478.0,,0.02,4.120574,deep4chem,,,,,,,58.0
CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,O,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1,O,420.0,478.0,,0.016,3.39794,deep4chem,,,,,,,58.0
N#Cc1ccc(C#Cc2ccccc2C#N)cc1,ClC(Cl)Cl,N#Cc1ccc(C#Cc2ccccc2C#N)cc1,ClC(Cl)Cl,297.0,332.0,2.64,0.452,4.58,deep4chem,,,,,,,35.0
N#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3C#N)cc2C#N)cc1,ClC(Cl)Cl,N#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3C#N)cc2C#N)cc1,ClC(Cl)Cl,340.0,370.0,1.83,0.783,4.74,deep4chem,,,,,,,30.0
N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,357.0,392.0,1.14,0.858,4.94,deep4chem,,,,,,,35.0
CSc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,CSc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,375.0,455.0,1.29,0.972,4.89,deep4chem,,,,,,,80.0
Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,360.0,403.0,1.23,0.96,4.91,deep4chem,,,,,,,43.0
COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,371.0,434.0,1.36,0.982,4.87,deep4chem,,,,,,,63.0
CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,425.0,555.0,1.78,0.999,4.75,deep4chem,,,,,,,130.0
C(#Cc1ccccc1)c1ccccc1,ClC(Cl)Cl,C(#Cc1ccccc1)c1ccccc1,ClC(Cl)Cl,299.0,320.0,3.89,0.003,4.41,deep4chem,,,,,,,21.0
C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1,ClC(Cl)Cl,C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1,ClC(Cl)Cl,328.0,348.0,2.57,0.5,4.59,deep4chem,,,,,,,20.0
C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1,ClC(Cl)Cl,C(#Cc1ccc(C#Cc2ccc(C#Cc3ccccc3)cc2)cc1)c1ccccc1,ClC(Cl)Cl,345.0,387.0,1.7,0.61,4.77,deep4chem,,,,,,,42.0
COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,371.0,420.0,1.446341,0.972,4.84,deep4chem,,,,,,,49.0
COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,369.0,460.0,1.287498,0.972,4.89,deep4chem,,,,,,,91.0
COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,364.0,490.0,1.28866,0.973,4.89,deep4chem,,,,,,,126.0
COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,COc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,369.0,513.0,1.381406,0.949,4.86,deep4chem,,,,,,,144.0
CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,426.0,519.0,1.737393,0.999,4.76,deep4chem,,,,,,,93.0
CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,422.0,621.0,1.698947,0.084,4.77,deep4chem,,,,,,,199.0
CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,413.0,682.0,1.658639,0.002,4.78,deep4chem,,,,,,,269.0
CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,426.0,699.0,1.861643,0.002,4.73,deep4chem,,,,,,,273.0
N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,c1ccccc1,358.0,393.0,1.652893,0.779,4.78,deep4chem,,,,,,,35.0
N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,C1CCOC1,356.0,390.0,1.234568,0.855,4.91,deep4chem,,,,,,,34.0
N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CC#N,352.0,388.0,1.785714,0.77,4.75,deep4chem,,,,,,,36.0
N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,N#Cc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,CN(C)C=O,357.0,394.0,1.612903,0.718,4.79,deep4chem,,,,,,,37.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,ClC(Cl)(Cl)Cl,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,ClC(Cl)(Cl)Cl,477.0,492.0,0.5,0.2,,deep4chem,,,,,,,15.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CCOCC,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CCOCC,475.0,497.0,0.7,0.24,,deep4chem,,,,,,,22.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CCOC(C)=O,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CCOC(C)=O,480.0,515.0,0.88,0.35,,deep4chem,,,,,,,35.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,ClCCl,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,ClCCl,488.0,538.0,1.3,0.44,4.877832,deep4chem,,,,,,,50.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC(C)=O,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC(C)=O,483.0,534.0,1.49,0.45,,deep4chem,,,,,,,51.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC#N,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)cc3)=[O+][B-](F)(F)O2)cc1,CC#N,483.0,549.0,1.55,0.51,,deep4chem,,,,,,,66.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,ClC(Cl)(Cl)Cl,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,ClC(Cl)(Cl)Cl,493.0,515.0,0.7,0.24,,deep4chem,,,,,,,22.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOCC,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOCC,491.0,520.0,0.9,0.27,,deep4chem,,,,,,,29.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOC(C)=O,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CCOC(C)=O,496.0,534.0,1.18,0.34,,deep4chem,,,,,,,38.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,ClCCl,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,ClCCl,505.0,554.0,1.35,0.41,4.893373,deep4chem,,,,,,,49.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CC(C)=O,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CC(C)=O,500.0,549.0,1.43,0.41,,deep4chem,,,,,,,49.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CC#N,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,CC#N,500.0,564.0,1.5,0.42,,deep4chem,,,,,,,64.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,ClC(Cl)(Cl)Cl,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,ClC(Cl)(Cl)Cl,523.0,561.0,1.18,0.23,,deep4chem,,,,,,,38.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CCOCC,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CCOCC,516.0,587.0,1.34,0.29,,deep4chem,,,,,,,71.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CCOC(C)=O,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CCOC(C)=O,524.0,590.0,1.51,0.31,,deep4chem,,,,,,,66.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,ClCCl,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,ClCCl,536.0,616.0,1.96,0.39,4.736157,deep4chem,,,,,,,80.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC(C)=O,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC(C)=O,532.0,622.0,1.03,0.21,,deep4chem,,,,,,,90.0
COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC#N,COc1ccc(C=CC2=CC(C=Cc3ccc(OC)c4ccccc34)=[O+][B-](F)(F)O2)c2ccccc12,CC#N,530.0,651.0,0.65,0.12,,deep4chem,,,,,,,121.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,ClC(Cl)(Cl)Cl,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,ClC(Cl)(Cl)Cl,542.0,577.0,0.94,,,deep4chem,,,,,,,35.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CCOCC,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CCOCC,540.0,583.0,1.12,,,deep4chem,,,,,,,43.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CCOC(C)=O,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CCOC(C)=O,542.0,603.0,1.28,,,deep4chem,,,,,,,61.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,ClCCl,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,ClCCl,526.0,600.0,1.86,0.51,4.86,deep4chem,,,,,,,74.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CC(C)=O,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CC(C)=O,549.0,631.0,1.02,,,deep4chem,,,,,,,82.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CC#N,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)c4ccccc34)=C2c2ccccc2)c2ccccc12,CC#N,550.0,649.0,0.63,,,deep4chem,,,,,,,99.0
COc1ccc2cc(C=CC3=[O+][B-](F)(F)OC(C=Cc4ccc5cc(OC)ccc5c4)=C3c3ccccc3)ccc2c1,ClCCl,COc1ccc2cc(C=CC3=[O+][B-](F)(F)OC(C=Cc4ccc5cc(OC)ccc5c4)=C3c3ccccc3)ccc2c1,ClCCl,556.0,633.0,1.91,0.51,4.76,deep4chem,,,,,,,77.0
Cn1c2ccccc2c2cc(C=CC3=[O+][B-](F)(F)OC(C=Cc4ccc5c(c4)c4ccccc4n5C)=C3c3ccccc3)ccc21,ClCCl,Cn1c2ccccc2c2cc(C=CC3=[O+][B-](F)(F)OC(C=Cc4ccc5c(c4)c4ccccc4n5C)=C3c3ccccc3)ccc21,ClCCl,565.0,636.0,2.15,0.6,4.843046,deep4chem,,,,,,,71.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2cccc(OC)c2)cc1,ClCCl,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2cccc(OC)c2)cc1,ClCCl,504.0,556.0,1.32,0.41,4.864511,deep4chem,,,,,,,52.0
COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccc(OC)cc2)cc1,ClCCl,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccc(OC)cc2)cc1,ClCCl,506.0,571.0,1.31,0.39,4.869818,deep4chem,,,,,,,65.0
